fm,task,n,n_patients,brier,brier_lo,brier_hi,ece,ece_lo,ece_hi,intercept,intercept_lo,intercept_hi,slope,slope_lo,slope_hi,horizon_months,n_events,mean_pred_surv,km_obs_surv,calibration_slope_decile,calibration_intercept_decile,n_seeds
biomedclip,t7,106.0,34.0,0.2657157240318776,0.2226970660482404,0.30885486804126633,0.11650555471923082,0.07504412265158929,0.3057897480367033,0.04206617314420562,-0.6748542488503403,0.9527904558118406,-0.04319368744456796,-1.5536798921192176,1.653703851960309,,,,,,,
ct_fm,t7,106.0,34.0,0.24385698612241608,0.20117978481214224,0.2889968721003531,0.16871216654116358,0.10710038599404176,0.3271113785356471,0.008116130513407012,-0.702253073708286,0.9169094305744007,0.6380146224390326,-0.5095933865535704,2.0652543822949334,,,,,,,
dinov2,t7,106.0,34.0,0.4928922716158241,0.3407205294629704,0.6486794712723204,0.4976673701611444,0.3445109440512321,0.6551786806950545,0.04442479739051564,-0.6691541462062979,0.9549500412140347,-0.006623540074110404,-0.05812160181668339,0.04814804594422089,,,,,,,
fmcib,t7,106.0,34.0,0.2507018342113281,0.20891329762196953,0.29556609774131953,0.10885920643516916,0.07411987697276584,0.28990061125854155,0.08207322427669902,-0.646266612701055,0.9720022377979561,0.4949607283923417,-0.6661395684200981,1.8312596717283915,,,,,,,
rad_dino,t7,106.0,34.0,0.3994562231101063,0.2818129060930552,0.5087214522146138,0.4108890032079674,0.2978346691907758,0.5372886468772411,0.05883159262218123,-0.6958335742929371,0.9394208465800976,0.01239429434677259,-0.04920222635887772,0.08352552692082538,,,,,,,
biomedclip,t3,651.0,,,,,,,,,,,,,,24.0,132.0,0.8464744403167727,0.8478972337657017,1.4315246630349268,-0.36379164697123856,
ct_fm,t3,651.0,,,,,,,,,,,,,,24.0,132.0,0.8475163665001916,0.8483439433752598,1.5586955715052193,-0.472651602982648,
dinov2,t3,651.0,,,,,,,,,,,,,,24.0,132.0,0.84656018659684,0.847616490015951,1.621400903373008,-0.5249207443744659,
fmcib,t3,651.0,,,,,,,,,,,,,,24.0,132.0,0.8468166270873845,0.8476517505698841,1.3865268152130734,-0.32642968066665423,
rad_dino,t3,651.0,,,,,,,,,,,,,,24.0,132.0,0.8471814752945134,0.8475871038926968,1.551322416942836,-0.4666423181574643,
biomedclip,t4,201.0,,,,,,,,,,,,,,24.0,63.0,0.8050139562162235,0.8077386545086743,2.692004537619015,-1.359102530355093,
ct_fm,t4,201.0,,,,,,,,,,,,,,24.0,63.0,0.7986939117351731,0.79455642249783,0.9823435335363757,0.009886672899757181,
dinov2,t4,201.0,,,,,,,,,,,,,,24.0,63.0,0.8037188888555635,0.8092382218462345,2.1650220194963956,-0.9301535884174101,
fmcib,t4,201.0,,,,,,,,,,,,,,24.0,63.0,0.8108501831792718,0.8102146538549085,0.9186030250174867,0.06526222616942924,
rad_dino,t4,201.0,,,,,,,,,,,,,,24.0,63.0,0.8050750881046788,0.8146179699076976,1.2841090002316022,-0.21906320941819482,
random_init,t1,1583.0,135.0,0.05330067957762491,0.041413917776447665,0.07161640564179182,0.02224841689518041,0.013645423462078508,0.04501916607094978,0.3115411390850199,-0.1594757533636639,0.6038922228106376,0.7444483658115487,0.5747258750277768,1.0162357980275247,,,,,,,10.0
random_init,t5,9864.0,333.0,0.06740214771101027,0.06101815312763348,0.07686935277451211,0.028916449508353252,0.02151983094953979,0.03969582586659404,0.36331567198753256,0.2232693077975645,0.5290201671767362,0.7070265295706276,0.6595877286574514,0.759095570902093,,,,,,,10.0
